2026-03-11 10:23:14 | unimol_tools/data/conformer.py | 452 | INFO | Uni-Mol Tools | Start generating conformers...
2026-03-11 10:23:16 | unimol_tools/data/conformer.py | 467 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2026-03-11 10:23:16 | unimol_tools/data/conformer.py | 484 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2026-03-11 10:23:16 | unimol_tools/data/datahub.py | 187 | INFO | Uni-Mol Tools | conf_cache_level is 1, saving conformers to models/unimol_binding_model/tmpacejukt_.sdf.
2026-03-11 10:23:16 | unimol_tools/data/datahub.py | 201 | INFO | Uni-Mol Tools | Successfully saved sdf file to models/unimol_binding_model/tmpacejukt_.sdf
2026-03-11 10:23:16 | unimol_tools/tasks/trainer.py | 103 | INFO | Uni-Mol Tools | Using CPU.
2026-03-11 10:23:16 | unimol_tools/weights/weighthub.py | 54 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: /Users/hande/Documents/VLM/.venv/lib/python3.11/site-packages/unimol_tools/weights
2026-03-11 10:23:16 | unimol_tools/weights/weighthub.py | 95 | INFO | Uni-Mol Tools | Downloading modelzoo/84M/checkpoint.pt
2026-03-11 10:23:16 | unimol_tools/weights/weighthub.py | 36 | WARNING | Uni-Mol Tools | [93m[93mDownload failed from Hugging Face: huggingface_hub is not installed. If weights are not avaliable, please install it by running: pip install huggingface_hub. Otherwise, please download the weights manually from https://huggingface.co/dptech/Uni-Mol-Models. Retrying with https://hf-mirror.com[0m[0m
